"Player","Team","GamesPlayed","Minutes","Points","ThreesMade","Season"
"Donovan Mitchell","UTA","77","33.7","23.8","2.4","2018-19"
"Zach LaVine","CHI","63","34.5","23.7","1.9","2018-19"
"Russell Westbrook","OKC","73","36","22.9","1.6","2018-19"
"Klay Thompson","GSW","78","34","21.5","3.1","2018-19"
"Julius Randle","NOP","73","30.6","21.4","0.9","2018-19"
"LaMarcus Aldridge","SAS","81","33.2","21.3","0.1","2018-19"
"DeMar DeRozan","SAS","77","34.9","21.2","0.1","2018-19"
"Luka Dončić","DAL","72","32.2","21.2","2.3","2018-19"
"Jrue Holiday","NOP","67","35.9","21.2","1.8","2018-19"
"D'Angelo Russell","BKN","81","30.2","21.1","2.9","2018-19"
"Mike Conley","MEM","70","33.5","21.1","2.2","2018-19"
"CJ McCollum","POR","70","33.9","21","2.4","2018-19"
"Nikola Vučević","ORL","80","31.4","20.8","1.1","2018-19"
"Buddy Hield","SAC","82","31.9","20.7","3.4","2018-19"
"Nikola Jokić","DEN","80","31.3","20.1","1","2018-19"
"Tobias Harris","PHI","82","34.7","20","1.9","2018-19"
"Lou Williams","LAC","75","26.6","20","1.4","2018-19"
"Danilo Gallinari","LAC","68","30.3","19.8","2.4","2018-19"
"John Collins","ATL","61","30","19.5","0.9","2018-19"
"Trae Young","ATL","81","30.9","19.1","1.9","2018-19"
"Jimmy Butler III","PHI","65","33.6","18.7","1","2018-19"
"Kyle Kuzma","LAL","70","33.1","18.7","1.8","2018-19"
"Khris Middleton","MIL","77","31.1","18.3","2.3","2018-19"
"Jamal Murray","DEN","75","32.6","18.2","2","2018-19"
"Andrew Wiggins","MIN","73","34.8","18.1","1.6","2018-19"
"Tim Hardaway Jr.","DAL","65","31.6","18.1","2.5","2018-19"
"JJ Redick","PHI","76","31.3","18.1","3.2","2018-19"
"Bojan Bogdanovic","IND","81","31.8","18","2","2018-19"
"Andre Drummond","DET","79","33.5","17.3","0.1","2018-19"
"De'Aaron Fox","SAC","81","31.4","17.3","1.1","2018-19"
"Pascal Siakam","TOR","80","31.9","16.9","1","2018-19"
"Ben Simmons","PHI","79","34.2","16.9","0","2018-19"
"Jordan Clarkson","CLE","81","27.3","16.8","1.8","2018-19"
"Spencer Dinwiddie","BKN","68","28.1","16.8","1.8","2018-19"
"Collin Sexton","CLE","82","31.8","16.7","1.5","2018-19"
"Clint Capela","HOU","67","33.6","16.6","0","2018-19"
"Montrezl Harrell","LAC","82","26.3","16.6","0","2018-19"
"Josh Richardson","MIA","73","34.8","16.6","2.2","2018-19"
"Harrison Barnes","SAC","77","32.9","16.4","2.3","2018-19"
"Deandre Ayton","PHX","71","30.7","16.3","0","2018-19"
"Eric Gordon","HOU","68","31.7","16.2","3.2","2018-19"
"Aaron Gordon","ORL","78","33.8","16","1.6","2018-19"
"Eric Bledsoe","MIL","78","29.1","15.9","1.6","2018-19"
"Rudy Gobert","UTA","81","31.8","15.9","0","2018-19"
"Jayson Tatum","BOS","79","31.1","15.7","1.5","2018-19"
"Malcolm Brogdon","MIL","64","28.6","15.6","1.6","2018-19"
"Jusuf Nurkić","POR","72","27.4","15.6","0","2018-19"
"Chris Paul","HOU","58","32","15.6","2.2","2018-19"
"Dennis Schröder","OKC","79","29.3","15.5","1.6","2018-19"
"Reggie Jackson","DET","82","27.9","15.4","2.1","2018-19"
"Jeremy Lamb","CHA","79","28.5","15.3","1.5","2018-19"
"Kelly Oubre Jr.","PHX","69","28","15.2","1.6","2018-19"
"Evan Fournier","ORL","81","31.5","15.1","1.9","2018-19"
"Terrence Ross","ORL","81","26.5","15.1","2.7","2018-19"
"Dwyane Wade","MIA","72","26.2","15","1.2","2018-19"
"Serge Ibaka","TOR","74","27.2","15","0.7","2018-19"
"Marvin Bagley III","SAC","62","25.3","14.9","0.5","2018-19"
"Emmanuel Mudiay","NYK","59","27.2","14.8","1.2","2018-19"
"Jabari Parker","WAS","64","26.9","14.5","1","2018-19"
"Kyle Lowry","TOR","65","34","14.2","2.4","2018-19"
"Bogdan Bogdanović","SAC","70","27.8","14.1","1.9","2018-19"
"Domantas Sabonis","IND","74","24.8","14.1","0.1","2018-19"
"Marcus Morris Sr.","BOS","75","27.9","13.9","1.9","2018-19"
"Steven Adams","OKC","80","33.4","13.9","0","2018-19"
"Jaren Jackson Jr.","MEM","58","26.1","13.8","0.9","2018-19"
"Rudy Gay","SAS","69","26.7","13.7","1.1","2018-19"
"Joe Harris","BKN","76","30.2","13.7","2.4","2018-19"
"Enes Freedom","POR","67","24.5","13.7","0.1","2018-19"
"Jerami Grant","OKC","80","32.7","13.6","1.4","2018-19"
"Al Horford","BOS","68","29","13.6","1.1","2018-19"
"Marc Gasol","TOR","79","30.8","13.6","1.3","2018-19"
"Myles Turner","IND","74","28.6","13.3","1","2018-19"
"Cedi Osman","CLE","76","32.2","13","1.7","2018-19"
"Jaylen Brown","BOS","74","25.9","13","1.3","2018-19"
"Kevin Knox II","NYK","75","28.8","12.8","1.7","2018-19"
"Ricky Rubio","UTA","68","27.9","12.7","1.2","2018-19"
"Thaddeus Young","IND","81","30.7","12.6","0.6","2018-19"
"Paul Millsap","DEN","70","27.1","12.6","0.8","2018-19"
"Justise Winslow","MIA","66","29.7","12.6","1.5","2018-19"
"Trevor Ariza","WAS","69","34","12.5","2.1","2018-19"
"Brook Lopez","MIL","81","28.7","12.5","2.3","2018-19"
"Hassan Whiteside","MIA","72","23.3","12.3","0","2018-19"
"Jeff Green","WAS","77","27.2","12.3","1.4","2018-19"
"Wesley Matthews","IND","69","30.3","12.2","2.2","2018-19"
"Joe Ingles","UTA","82","31.3","12.1","2.3","2018-19"
"JaVale McGee","LAL","75","22.3","12","0","2018-19"
"Willie Cauley-Stein","SAC","81","27.3","11.9","0","2018-19"
"Jae Crowder","UTA","80","27.1","11.9","2.2","2018-19"
"Derrick Favors","UTA","76","23.2","11.8","0.2","2018-19"
"Bryn Forbes","SAS","82","28","11.8","2.1","2018-19"
"D.J. Augustin","ORL","81","28","11.7","1.6","2018-19"
"Kent Bazemore","ATL","67","24.5","11.6","1.4","2018-19"
"Josh Jackson","PHX","79","25.2","11.5","0.9","2018-19"
"Gordon Hayward","BOS","72","25.9","11.5","1.1","2018-19"
"Kentavious Caldwell-Pope","LAL","82","24.8","11.4","1.8","2018-19"
"Malik Beasley","DEN","81","23.2","11.3","2","2018-19"
"Reggie Bullock Jr.","LAL","63","29.8","11.3","2.3","2018-19"
"Darren Collison","IND","76","28.2","11.2","1","2018-19"
"Rodney Hood","POR","72","26.3","11.2","1.2","2018-19"
"DeMarre Carroll","BKN","67","25.4","11.1","1.6","2018-19"
"Alex Len","ATL","77","20.1","11.1","1","2018-19"
"DeAndre Jordan","NYK","69","29.7","11","0","2018-19"
"Fred VanVleet","TOR","64","27.5","11","1.8","2018-19"
"Jarrett Allen","BKN","80","26.2","10.9","0.1","2018-19"
"Trey Burke","DAL","58","19.4","10.9","1","2018-19"
"Allonzo Trier","NYK","64","22.8","10.9","0.8","2018-19"
"Shai Gilgeous-Alexander","LAC","82","26.5","10.8","0.6","2018-19"
"Dewayne Dedmon","ATL","64","25.1","10.8","1.3","2018-19"
"Taj Gibson","MIN","70","24.1","10.8","0.2","2018-19"
"Damyean Dotson","NYK","73","27.5","10.7","1.7","2018-19"
"Dario Šarić","MIN","81","25","10.6","1.5","2018-19"
"Dwight Powell","DAL","77","21.6","10.6","0.5","2018-19"
"Thomas Bryant","WAS","72","20.8","10.5","0.5","2018-19"
"Marco Belinelli","SAS","79","23","10.5","1.9","2018-19"
"Justin Holiday","MEM","82","31.8","10.5","2","2018-19"
"Monté Morris","DEN","82","24","10.4","1.1","2018-19"
"Danny Green","TOR","80","27.7","10.3","2.5","2018-19"
"Tyreke Evans","IND","69","20.3","10.2","1.1","2018-19"
"Marvin Williams","CHA","75","28.4","10.1","1.9","2018-19"
"Kelly Olynyk","MIA","79","22.9","10","1.4","2018-19"
"Avery Bradley","MEM","63","30.2","9.9","1.4","2018-19"
"Derrick White","SAS","67","25.8","9.9","0.7","2018-19"
"Patty Mills","SAS","82","23.3","9.9","1.9","2018-19"
"Luke Kennard","DET","63","22.8","9.7","1.7","2018-19"
"Kevin Huerter","ATL","75","27.3","9.7","1.8","2018-19"
"Nemanja Bjelica","SAC","77","23.2","9.6","1.3","2018-19"
"Jonathan Isaac","ORL","75","26.6","9.6","1.1","2018-19"
"Jeremy Lin","TOR","74","19.4","9.6","0.7","2018-19"
"Robin Lopez","CHI","74","21.7","9.5","0.1","2018-19"
"Markieff Morris","OKC","58","21.9","9.4","1.2","2018-19"
"JaMychal Green","LAC","65","21.1","9.4","1.1","2018-19"
"Al-Farouq Aminu","POR","81","28.3","9.4","1.2","2018-19"
"Larry Nance Jr.","CLE","67","26.8","9.4","0.5","2018-19"
"Nicolas Batum","CHA","75","31.4","9.3","1.5","2018-19"
"Jalen Brunson","DAL","73","21.8","9.3","0.9","2018-19"
"Gerald Green","HOU","73","20.2","9.2","2.1","2018-19"
"Landry Shamet","LAC","79","22.8","9.1","2.1","2018-19"
"Terry Rozier","BOS","79","22.7","9","1.5","2018-19"
"Malik Monk","CHA","73","17.2","8.9","1.5","2018-19"
"Rondae Hollis-Jefferson","BKN","59","20.9","8.9","0.2","2018-19"
"Ivica Zubac","LAC","59","17.6","8.9","0","2018-19"
"Bam Adebayo","MIA","82","23.3","8.9","0","2018-19"
"Tomas Satoransky","WAS","80","27.1","8.9","0.8","2018-19"
"Marcus Smart","BOS","80","27.5","8.9","1.6","2018-19"
"Mario Hezonja","NYK","58","20.8","8.8","0.7","2018-19"
"Alec Burks","SAC","64","21.5","8.8","1","2018-19"
"Delon Wright","MEM","75","22.6","8.7","0.7","2018-19"
"Norman Powell","TOR","60","18.8","8.6","1.1","2018-19"
"Kyle Korver","UTA","70","19.1","8.6","2","2018-19"
"Trey Lyles","DEN","64","17.5","8.5","0.8","2018-19"
"Rodions Kurucs","BKN","63","20.5","8.5","0.9","2018-19"
"Langston Galloway","DET","80","21.8","8.4","1.7","2018-19"
"Noah Vonleh","NYK","68","25.3","8.4","0.7","2018-19"
"DeAndre' Bembry","ATL","82","23.5","8.4","0.6","2018-19"
"Mikal Bridges","PHX","82","29.5","8.3","1.3","2018-19"
"Darius Miller","NOP","69","25.5","8.2","1.9","2018-19"
"Jahlil Okafor","NOP","59","15.8","8.2","0","2018-19"
"Richaun Holmes","PHX","70","16.9","8.2","0","2018-19"
"Austin Rivers","HOU","76","26.7","8.1","1.4","2018-19"
"Frank Jackson","NOP","61","19.2","8.1","0.9","2018-19"
"Davis Bertans","SAS","76","21.5","8","1.9","2018-19"
"Jamal Crawford","PHX","64","18.9","7.9","1","2018-19"
"Seth Curry","POR","74","18.9","7.9","1.5","2018-19"
"Josh Hart","LAL","67","25.6","7.8","1.4","2018-19"
"Garrett Temple","LAC","75","27.2","7.8","1.2","2018-19"
"Ante Zizic","CLE","59","18.3","7.8","0","2018-19"
"Mason Plumlee","DEN","82","21.1","7.8","0","2018-19"
"Josh Okogie","MIN","74","23.7","7.7","0.8","2018-19"
"Maurice Harkless","POR","60","23.6","7.7","0.6","2018-19"
"Patrick Beverley","LAC","78","27.4","7.6","1.4","2018-19"
"George Hill","MIL","60","21.7","7.6","0.8","2018-19"
"Rodney McGruder","LAC","66","23.5","7.6","1.2","2018-19"
"Jake Layman","POR","71","18.7","7.6","0.8","2018-19"
"Dorian Finney-Smith","DAL","81","24.5","7.5","1","2018-19"
"Iman Shumpert","HOU","62","23.9","7.5","1.5","2018-19"
"Miles Bridges","CHA","80","21.2","7.5","0.8","2018-19"
"Vince Carter","ATL","76","17.5","7.4","1.6","2018-19"
"Draymond Green","GSW","66","31.3","7.4","0.7","2018-19"
"Mitchell Robinson","NYK","66","20.6","7.3","0","2018-19"
"P.J. Tucker","HOU","82","34.2","7.3","1.8","2018-19"
"Doug McDermott","IND","77","17.4","7.3","1.1","2018-19"
"Boban Marjanovic","PHI","58","11.7","7.3","0.1","2018-19"
"Willy Hernangomez","CHA","58","14","7.3","0.3","2018-19"
"Lance Stephenson","LAL","68","16.5","7.2","1.1","2018-19"
"Justin Jackson","DAL","81","19.9","7.2","1.1","2018-19"
"Harry Giles III","SAC","58","14.1","7","0","2018-19"
"Derrick Jones Jr.","MIA","60","19.2","7","0.5","2018-19"
"Mike Muscala","LAL","64","20.4","7","1.4","2018-19"
"OG Anunoby","TOR","67","20.2","7","1","2018-19"
"Terrance Ferguson","OKC","74","26.1","6.9","1.4","2018-19"
"Pat Connaughton","MIL","61","20.7","6.9","1.1","2018-19"
"Tyus Jones","MIN","68","22.9","6.9","0.6","2018-19"
"Stanley Johnson","NOP","66","18.3","6.9","0.9","2018-19"
"Quinn Cook","GSW","74","14.3","6.9","1.1","2018-19"
"Wayne Selden","CHI","75","19.2","6.9","0.7","2018-19"
"Maxi Kleber","DAL","71","21.2","6.8","1.1","2018-19"
"Evan Turner","POR","73","22","6.8","0.2","2018-19"
"Ersan Ilyasova","MIL","67","18.4","6.8","0.9","2018-19"
"Ryan Arcidiacono","CHI","81","24.2","6.7","1","2018-19"
"James Ennis III","PHI","58","21.2","6.7","0.9","2018-19"
"Ian Clark","NOP","60","16.2","6.7","1.1","2018-19"
"Michael Kidd-Gilchrist","CHA","64","18.4","6.7","0.3","2018-19"
"Zach Collins","POR","77","17.6","6.6","0.5","2018-19"
"Cory Joseph","IND","82","25.2","6.5","0.7","2018-19"
"Shaquille Harrison","CHI","73","19.6","6.5","0.3","2018-19"
"Sterling Brown","MIL","58","17.8","6.4","0.9","2018-19"
"Gorgui Dieng","MIN","76","13.6","6.4","0.3","2018-19"
"T.J. McConnell","PHI","76","19.3","6.4","0.2","2018-19"
"Devin Harris","DAL","68","15.8","6.3","0.9","2018-19"
"Jonas Jerebko","GSW","73","16.7","6.3","0.9","2018-19"
"Kevon Looney","GSW","80","18.5","6.3","0","2018-19"
"Cheick Diallo","NOP","64","14","6","0","2018-19"
"Tony Snell","MIL","74","17.6","6","1.1","2018-19"
"Yogi Ferrell","SAC","71","15","5.9","0.8","2018-19"
"Nik Stauskas","CLE","68","14.9","5.9","1","2018-19"
"Meyers Leonard","POR","61","14.4","5.9","0.8","2018-19"
"Juancho Hernangomez","DEN","70","19.4","5.8","0.9","2018-19"
"Ed Davis","BKN","81","17.9","5.8","0","2018-19"
"Mike Scott","PHI","79","17.7","5.8","1.3","2018-19"
"Torrey Craig","DEN","75","20","5.7","0.8","2018-19"
"Andre Iguodala","GSW","68","23.2","5.7","0.7","2018-19"
"Daniel Theis","BOS","66","13.8","5.7","0.4","2018-19"
"Jakob Poeltl","SAS","77","16.5","5.5","0","2018-19"
"Tim Frazier","MIL","59","19","5.3","0.6","2018-19"
"Royce O'Neale","UTA","82","20.4","5.2","0.8","2018-19"
"Thon Maker","DET","64","15.2","5","0.8","2018-19"
"Anthony Tolliver","MIN","65","16.6","5","1.2","2018-19"
"Wes Iwundu","ORL","68","18.1","5","0.4","2018-19"
"Nerlens Noel","OKC","77","13.7","4.9","0","2018-19"
"Jared Dudley","BKN","59","20.7","4.9","0.9","2018-19"
"Alfonzo McKinnie","GSW","72","13.9","4.7","0.6","2018-19"
"Bruce Brown","DET","74","19.6","4.3","0.3","2018-19"
"Jerian Grant","ORL","60","15.7","4.2","0.7","2018-19"
"Shaun Livingston","GSW","64","15.1","4","0","2018-19"
"Cristiano Felicio","CHI","60","12.4","4","0","2018-19"
"Georges Niang","UTA","59","8.7","4","0.7","2018-19"
"Abdel Nader","OKC","61","11.4","4","0.5","2018-19"
"Zaza Pachulia","DET","68","12.9","3.9","0","2018-19"
"T.J. Leaf","IND","58","9","3.9","0.1","2018-19"
"Patrick Patterson","OKC","63","13.7","3.6","0.7","2018-19"
"Tyrone Wallace","LAC","62","10.1","3.5","0.1","2018-19"
"Jordan Bell","GSW","68","11.6","3.3","0","2018-19"
"Dante Cunningham","SAS","64","14.5","3","0.5","2018-19"
"Sindarius Thornwell","LAC","64","4.9","1","0","2018-19"
"James Harden","HOU","72","35.4","30.4","3.7","2017-18"
"Anthony Davis","NOP","75","36.4","28.1","0.7","2017-18"
"LeBron James","CLE","82","36.9","27.5","1.8","2017-18"
"Damian Lillard","POR","73","36.6","26.9","3.1","2017-18"
"Giannis Antetokounmpo","MIL","75","36.7","26.9","0.6","2017-18"
"Kevin Durant","GSW","68","34.2","26.4","2.5","2017-18"
"Russell Westbrook","OKC","80","36.4","25.4","1.2","2017-18"
"Kyrie Irving","BOS","60","32.2","24.4","2.8","2017-18"
"LaMarcus Aldridge","SAS","75","33.5","23.1","0.4","2017-18"
"Victor Oladipo","IND","75","34","23.1","2.1","2017-18"
"DeMar DeRozan","TOR","80","33.9","23","1.1","2017-18"
"Joel Embiid","PHI","63","30.3","22.9","1","2017-18"
"Bradley Beal","WAS","82","36.3","22.6","2.4","2017-18"
"Lou Williams","LAC","79","32.8","22.6","2.4","2017-18"
"Jimmy Butler III","MIN","59","36.7","22.2","1.2","2017-18"
"Kemba Walker","CHA","80","34.2","22.1","2.9","2017-18"
"Paul George","OKC","79","36.6","21.9","3.1","2017-18"
"CJ McCollum","POR","81","36.1","21.4","2.3","2017-18"
"Karl-Anthony Towns","MIN","82","35.6","21.3","1.5","2017-18"
"Donovan Mitchell","UTA","79","33.4","20.5","2.4","2017-18"
"Khris Middleton","MIL","82","36.4","20.1","1.8","2017-18"
"Klay Thompson","GSW","73","34.3","20","3.1","2017-18"
"T.J. Warren","PHX","65","33","19.6","0.3","2017-18"
"Dennis Schröder","ATL","67","31","19.4","1.1","2017-18"
"Jrue Holiday","NOP","81","36.1","19","1.5","2017-18"
"Harrison Barnes","DAL","77","34.2","18.9","1.5","2017-18"
"Tobias Harris","LAC","80","33.4","18.6","2.3","2017-18"
"Nikola Jokić","DEN","75","32.6","18.5","1.5","2017-18"
"Eric Gordon","HOU","69","31.2","18","3.2","2017-18"
"Eric Bledsoe","MIL","74","31.4","17.7","1.7","2017-18"
"Andrew Wiggins","MIN","82","36.3","17.7","1.4","2017-18"
"Kevin Love","CLE","59","28","17.6","2.3","2017-18"
"Gary Harris","DEN","67","34.4","17.5","2.3","2017-18"
"Goran Dragic","MIA","75","31.7","17.3","1.5","2017-18"
"Marc Gasol","MEM","73","33","17.2","1.5","2017-18"
"JJ Redick","PHI","70","30.2","17.1","2.8","2017-18"
"Jamal Murray","DEN","81","31.7","16.7","2","2017-18"
"Dwight Howard","CHA","81","30.4","16.6","0","2017-18"
"Kyle Lowry","TOR","78","32.2","16.2","3.1","2017-18"
"Carmelo Anthony","OKC","78","32.1","16.2","2.2","2017-18"
"Julius Randle","LAL","82","26.7","16.1","0.1","2017-18"
"Kyle Kuzma","LAL","77","31.2","16.1","2.1","2017-18"
"Brandon Ingram","LAL","59","33.5","16.1","0.7","2017-18"
"Ben Simmons","PHI","81","33.7","15.8","0","2017-18"
"Will Barton","DEN","81","33.1","15.7","1.9","2017-18"
"Lauri Markkanen","CHI","68","29.7","15.2","2.1","2017-18"
"Dennis Smith Jr.","DAL","69","29.7","15.2","1.5","2017-18"
"Austin Rivers","LAC","61","33.7","15.1","2.2","2017-18"
"Andre Drummond","DET","78","33.7","15","0","2017-18"
"Otto Porter Jr.","WAS","77","31.6","14.7","1.8","2017-18"
"Rodney Hood","CLE","60","26.9","14.7","2.1","2017-18"
"Dario Šarić","PHI","78","29.6","14.6","2","2017-18"
"Jaylen Brown","BOS","70","30.7","14.5","1.7","2017-18"
"Zach Randolph","SAC","59","25.6","14.5","0.9","2017-18"
"Jusuf Nurkić","POR","79","26.4","14.3","0","2017-18"
"Bojan Bogdanovic","IND","80","30.8","14.3","1.9","2017-18"
"Jeff Teague","MIN","70","33","14.2","1.2","2017-18"
"Taurean Prince","ATL","82","30","14.1","2.1","2017-18"
"Enes Freedom","NYK","71","25.8","14.1","0","2017-18"
"Jonathon Simmons","ORL","69","29.4","13.9","1","2017-18"
"Rondae Hollis-Jefferson","BKN","68","28.3","13.9","0.2","2017-18"
"Jayson Tatum","BOS","80","30.5","13.9","1.3","2017-18"
"Steven Adams","OKC","76","32.7","13.9","0","2017-18"
"Jordan Clarkson","CLE","81","23.3","13.9","1.4","2017-18"
"Clint Capela","HOU","74","27.5","13.9","0","2017-18"
"Buddy Hield","SAC","80","25.3","13.5","2.2","2017-18"
"DeMarre Carroll","BKN","73","29.9","13.5","2","2017-18"
"Kentavious Caldwell-Pope","LAL","74","33.2","13.4","2.1","2017-18"
"Bobby Portis","CHI","73","22.5","13.2","1.1","2017-18"
"Allen Crabbe","BKN","75","29.3","13.2","2.7","2017-18"
"Michael Beasley","NYK","74","22.3","13.2","0.5","2017-18"
"Josh Jackson","PHX","77","25.4","13.1","0.7","2017-18"
"Ricky Rubio","UTA","77","29.3","13.1","1.2","2017-18"
"Brook Lopez","LAL","74","23.4","13","1.5","2017-18"
"Jeremy Lamb","CHA","80","24.6","12.9","1.2","2017-18"
"Josh Richardson","MIA","81","33.2","12.9","1.6","2017-18"
"Al Horford","BOS","72","31.6","12.9","1.3","2017-18"
"Kent Bazemore","ATL","65","27.5","12.9","1.7","2017-18"
"Willie Cauley-Stein","SAC","73","28","12.8","0","2017-18"
"Myles Turner","IND","65","28.2","12.7","0.9","2017-18"
"Wesley Matthews","DAL","63","33.8","12.7","2.4","2017-18"
"Jonas Valančiūnas","TOR","77","22.4","12.7","0.4","2017-18"
"Elfrid Payton","PHX","63","28.7","12.7","0.5","2017-18"
"Serge Ibaka","TOR","76","27.5","12.6","1.4","2017-18"
"Robert Covington","PHI","80","31.6","12.6","2.5","2017-18"
"Spencer Dinwiddie","BKN","80","28.8","12.6","1.8","2017-18"
"E'Twaun Moore","NOP","82","31.5","12.5","1.6","2017-18"
"Darren Collison","IND","69","29.2","12.4","1.4","2017-18"
"Derrick Favors","UTA","77","28","12.3","0.2","2017-18"
"Taj Gibson","MIN","82","33.2","12.2","0.1","2017-18"
"Justin Holiday","CHI","72","31.5","12.2","2.2","2017-18"
"Marco Belinelli","PHI","80","24.3","12.1","1.9","2017-18"
"Caris LeVert","BKN","71","26.3","12.1","1.2","2017-18"
"DeAndre Jordan","LAC","77","31.5","12","0","2017-18"
"Dirk Nowitzki","DAL","77","24.7","12","1.8","2017-18"
"Courtney Lee","NYK","76","30.4","12","1.5","2017-18"
"Robin Lopez","CHI","64","26.4","11.8","0.1","2017-18"
"Thaddeus Young","IND","81","32.2","11.8","0.7","2017-18"
"Kelly Oubre Jr.","WAS","81","27.5","11.8","1.6","2017-18"
"Bogdan Bogdanović","SAC","78","27.9","11.8","1.7","2017-18"
"Tyler Johnson","MIA","72","28.5","11.7","1.7","2017-18"
"Trevor Ariza","HOU","67","33.9","11.7","2.5","2017-18"
"Domantas Sabonis","IND","74","24.5","11.6","0.2","2017-18"
"J.J. Barea","DAL","69","23.2","11.6","1.7","2017-18"
"Nicolas Batum","CHA","64","31","11.6","1.4","2017-18"
"De'Aaron Fox","SAC","73","27.8","11.6","0.6","2017-18"
"Markieff Morris","WAS","73","27","11.5","1","2017-18"
"Kelly Olynyk","MIA","76","23.4","11.5","1.4","2017-18"
"Joe Ingles","UTA","82","31.5","11.5","2.5","2017-18"
"Dwyane Wade","MIA","67","22.9","11.4","0.5","2017-18"
"Reggie Bullock Jr.","DET","62","27.9","11.3","2","2017-18"
"Terry Rozier","BOS","80","25.9","11.3","1.9","2017-18"
"Wayne Ellington","MIA","77","26.5","11.2","2.9","2017-18"
"Frank Kaminsky","CHA","79","23.2","11.1","1.3","2017-18"
"Draymond Green","GSW","70","32.7","11","1.1","2017-18"
"Montrezl Harrell","LAC","76","17","11","0","2017-18"
"Dillon Brooks","MEM","82","28.7","11","1.1","2017-18"
"Ish Smith","DET","82","24.9","10.9","0.4","2017-18"
"Ersan Ilyasova","PHI","69","25.1","10.9","1.3","2017-18"
"Jeff Green","CLE","78","23.4","10.8","0.7","2017-18"
"Joe Harris","BKN","78","25.3","10.8","1.9","2017-18"
"James Johnson","MIA","73","26.6","10.8","0.8","2017-18"
"John Collins","ATL","74","24.1","10.5","0.2","2017-18"
"Jamal Crawford","MIN","80","20.7","10.3","1.3","2017-18"
"Yogi Ferrell","DAL","82","27.8","10.2","1.6","2017-18"
"D.J. Augustin","ORL","75","23.5","10.2","1.5","2017-18"
"Denzel Valentine","CHI","77","27.2","10.2","1.9","2017-18"
"Pau Gasol","SAS","77","23.5","10.1","0.6","2017-18"
"Patty Mills","SAS","82","25.7","10","1.9","2017-18"
"CJ Miles","TOR","70","19.1","10","2.3","2017-18"
"Wilson Chandler","DEN","74","31.7","10","1.2","2017-18"
"George Hill","CLE","67","27","10","1.3","2017-18"
"Dewayne Dedmon","ATL","62","24.9","10","0.8","2017-18"
"Trey Lyles","DEN","73","19.1","9.9","1.1","2017-18"
"Jae Crowder","UTA","80","26.1","9.7","1.4","2017-18"
"Mario Hezonja","ORL","75","22.1","9.6","1.2","2017-18"
"Marvin Williams","CHA","78","25.7","9.5","1.6","2017-18"
"Ryan Anderson","HOU","66","26.1","9.3","2","2017-18"
"Al-Farouq Aminu","POR","69","30","9.3","1.8","2017-18"
"Lance Stephenson","IND","82","22.6","9.2","0.8","2017-18"
"Kyle Korver","CLE","73","21.6","9.2","2.2","2017-18"
"Michael Kidd-Gilchrist","CHA","74","25","9.2","0","2017-18"
"Anthony Tolliver","DET","79","22.2","8.9","2","2017-18"
"Troy Daniels","PHX","79","20.5","8.9","2.3","2017-18"
"Manu Ginobili","SAS","65","20","8.9","1","2017-18"
"Mike Scott","WAS","76","18.5","8.8","0.9","2017-18"
"John Henson","MIL","76","25.9","8.8","0","2017-18"
"Skal Labissiere","SAC","60","20.7","8.7","0.3","2017-18"
"Shabazz Napier","POR","74","20.8","8.7","1.1","2017-18"
"Larry Nance Jr.","CLE","66","21.5","8.7","0","2017-18"
"Stanley Johnson","DET","69","27.4","8.7","1","2017-18"
"Emmanuel Mudiay","NYK","64","19.4","8.6","0.7","2017-18"
"Fred VanVleet","TOR","76","20","8.6","1.4","2017-18"
"Danny Green","SAS","70","25.6","8.6","1.7","2017-18"
"Alex Len","PHX","69","20.2","8.5","0","2017-18"
"Dwight Powell","DAL","79","21.2","8.5","0.4","2017-18"
"Jerami Grant","OKC","81","20.3","8.4","0.4","2017-18"
"Garrett Temple","SAC","65","24.8","8.4","1.4","2017-18"
"Marcin Gortat","WAS","82","25.3","8.4","0","2017-18"
"Devin Harris","DEN","71","18.9","8.4","1.1","2017-18"
"Jerian Grant","CHI","74","22.8","8.4","0.8","2017-18"
"JR Smith","CLE","80","28.1","8.3","1.8","2017-18"
"Rajon Rondo","NOP","65","26.2","8.3","0.8","2017-18"
"Evan Turner","POR","79","25.7","8.2","0.5","2017-18"
"Jarrett Allen","BKN","72","20","8.2","0.1","2017-18"
"Dejounte Murray","SAS","81","21.5","8.1","0.1","2017-18"
"Delon Wright","TOR","69","20.8","8","0.8","2017-18"
"David Nwaba","CHI","70","23.5","7.9","0.3","2017-18"
"Cory Joseph","IND","82","27","7.9","0.8","2017-18"
"Kyle Anderson","SAS","74","26.7","7.9","0.3","2017-18"
"Josh Hart","LAL","63","23.2","7.9","1.2","2017-18"
"Tyler Ulis","PHX","71","23.4","7.8","0.6","2017-18"
"Justise Winslow","MIA","68","24.7","7.8","0.7","2017-18"
"Doug McDermott","DAL","81","21.8","7.8","1.1","2017-18"
"Darius Miller","NOP","82","23.7","7.8","1.8","2017-18"
"Jarell Martin","MEM","73","22.8","7.7","0.5","2017-18"
"Marquese Chriss","PHX","72","21.2","7.7","0.8","2017-18"
"Alec Burks","UTA","64","16.5","7.7","0.7","2017-18"
"Mario Chalmers","MEM","66","21.5","7.7","0.8","2017-18"
"Luke Kennard","DET","73","20","7.6","1.1","2017-18"
